@relation converted_data
@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.04,2.3,24.7,34.9,70.09,207.95,117.91,0.19,1.95,39.02,188.87,193.63,123.88,0.28,7.49,22.9,85.02,101.41,106.71,0.26,12.16,121.61,258.3,164.77,1.08,8.84,61.86,142.27,19,1.83,47.8,217.59,205.76,1.58,27.14,203.84,217.7,8.9,111.27,210.03,5.61,141.39,483.96,26.61,144.61,41.86,529.04,1
0.04,0.29,11.4,42.86,19.53,249.09,35.23,0.14,2.87,1.14,125.41,138.48,70.05,0.03,3.73,25.99,27.27,173.69,59.32,0.37,0.95,87.05,257.15,129.05,0.57,9.81,29.69,222.94,68.01,0.21,35.81,239.68,210.96,1.73,15.22,282.2,175.3,6.86,127.94,247.61,3.39,191.7,531.55,31.23,181.75,56.46,635.32,1
0.17,3.73,33.44,148.77,251.77,116.87,132.19,0.14,2.55,12.09,9.07,89.82,86.48,0.48,10.49,89.45,295.91,163.2,83,0.36,4.55,10.55,63.89,144.89,1.55,32.84,221.55,297.96,66.11,0.78,5.8,33.84,159.85,5.69,100.73,346.85,219.42,1.31,12.54,129.01,21.46,228.68,464.76,2.53,72.45,66.86,525.96,1
0.08,1.09,26.87,52.67,76.14,199.85,24.55,0.24,3.77,13,139.73,149.31,60.52,0.14,8.43,38.48,78.03,136,68.67,0.5,4.34,101.43,243.79,116.21,1.24,15.51,50.6,248.67,0.43,0.68,42.46,225.64,153.8,2.82,20.37,293.79,276.85,8.2,121.36,167.58,3.96,190.51,605.54,29.86,124.03,54.82,663.18,1
0.06,0.98,6.86,81.48,198.18,104.85,106.76,0.12,3.26,32.81,116.01,121.17,95.87,0.13,2.29,45.04,222.27,149.71,99.34,0.44,10.7,74.37,147.13,107.98,0.35,15.64,158.46,306.26,145.36,1.66,29.34,120.85,70.85,2.61,69.24,335,337.84,5.49,61.6,26.07,14.33,209.38,565.04,14.77,27.51,59.18,575.83,1
0.08,1.67,13.6,54.16,54.34,127.87,113.11,0.24,5.92,49.46,166.89,151.84,63.55,0.22,4.37,36.16,112.04,183.87,131.39,0.77,15.52,98.91,179.07,103.71,0.65,13.91,97.02,267.69,185.53,2.35,37.36,141.12,114.23,2.47,46.66,267.92,333.7,6.82,69.81,97.02,10.2,163.4,492.99,16.43,62.34,45.89,479.03,1
0.2,0.75,30.22,98.43,70.68,173.45,71.55,0.25,5.98,10.5,191.88,183.23,71.23,0.1,9.64,66.74,48.79,93.64,90.96,0.83,3.05,130.7,297.31,73.85,1.44,26.19,22.68,194.9,127.8,0.44,53.32,277.26,89.37,4.72,7.15,255.9,317.71,10.18,150.72,140.12,1.3,173.76,577.51,37.41,122.84,51.21,619.14,1
0.1,0.54,19.43,82.19,9.19,149.61,66.4,0.13,3.15,8.12,158.48,219.28,85.47,0.07,6.13,52.63,2.45,29.97,61.26,0.43,2.26,106.29,322.63,21.1,0.9,19.77,5.92,151.81,112.91,0.31,42.63,281.23,107.95,3.45,3.9,216.7,335.41,8.02,146.02,182.97,1,148.3,608.28,35.17,151.13,43.62,639.03,1
0.28,6.66,55.51,184.28,213.05,63.65,151.12,0.15,1.96,6.16,10.39,15.58,158.39,0.83,16.85,110.2,253.76,125.5,180.56,0.28,2.65,8.95,19.38,144.88,2.44,40.53,196.43,240.64,177.27,0.48,4.55,20.38,116.54,7.05,91.96,279.19,248.5,1,12.11,83.88,20.02,185.63,380.14,3.17,48.81,54.79,397.61,1
0.09,1.75,6.56,62.2,120.78,172.02,37.13,0.15,2.92,34.43,132.98,67.98,72.64,0.22,2.42,34.23,168.23,221.62,10.47,0.4,11.15,84.27,104.49,93.63,0.39,11.95,129.58,347.52,47.26,1.73,33.15,98.91,120.24,2.01,58.74,358.4,288.19,6.21,54.59,93.36,12.4,219.86,567.59,13.69,46.75,61.7,602.9,1
0.06,1.01,4.38,44.43,148.28,87.09,37.15,0.11,3.52,36.83,137.68,110.88,41.22,0.13,1.59,25.53,168.2,106.64,8.09,0.45,11.6,85.18,144.67,45.72,0.25,9.13,119.21,268.05,147.96,1.75,32.67,123.03,17.43,1.55,51.7,292.81,413.9,5.98,63.21,27.6,10.63,180.65,657.03,15.14,36.17,50.56,638.65,1
0.01,1.04,8.85,39.65,119.79,184.15,11.64,0.08,1.06,22.27,110,128.1,66.39,0.13,2.81,21.66,155.01,121.04,36.16,0.14,7.63,78.29,187.45,85.96,0.42,7.57,116.67,273.02,21.64,1.22,32.27,164.91,137.19,1.28,52.28,327.74,290.56,6.16,85.91,159.99,10.96,212.42,612.87,20.71,116.25,61,664.39,1
0.06,1.25,23.72,62.52,97.15,113.14,22.46,0.15,2.21,19.86,148.87,230.76,68.15,0.15,6.76,36.83,92.18,43.79,20.51,0.29,6.17,94.08,260.76,38.77,0.93,13.28,60.5,189.22,153.59,0.93,36.36,204.76,45.36,2.27,25.4,224.55,410.27,6.68,101.12,75.72,5.16,142.74,646.62,23.73,66.19,40.48,627.95,1
0.14,3.05,23.98,95.29,142.41,117.48,0.62,0.2,3.49,14.78,28.39,62.86,201.76,0.38,7.56,61.5,205.28,136.21,82.58,0.48,5.34,14.72,51.8,229.53,1.12,23.34,168.08,321.58,79.04,0.91,7.24,43.8,220.09,4.11,79.54,377.61,141.38,1.66,25.78,182.36,17.28,245.32,457.49,6.89,116.06,70.88,552.43,1
0.08,1.39,15.23,34.09,88.14,187.6,57.77,0.17,2.54,23.31,143.03,128.41,77.16,0.19,4.81,21.77,128.63,183.42,17.9,0.35,8.29,97.26,200.39,122.36,0.71,8.41,99.7,326.32,5.63,1.35,39.53,180.69,156.64,1.51,45.23,358.86,219.3,7.52,95.78,150.04,9.55,225.8,522.86,23.37,99.94,64.07,591.47,1
0.24,0.83,35.48,94.11,92.94,128.47,125.84,0.27,6.8,14.07,218.25,128.98,61.2,0.11,10.98,66.59,72.49,174.13,131.51,0.95,3.49,143.09,246.23,83.64,1.61,26.76,35.78,281.48,133.25,0.42,57.36,245.7,85.48,4.9,10.63,303.01,272.96,10.86,138.26,102.65,1.48,192.29,496.1,34.98,91.57,55.17,541.35,1
0.05,0.63,10.91,39.11,70.26,158.51,8.16,0.1,2.51,26.31,165.13,200.35,57.72,0.08,3.4,23.93,84.19,47.18,31.83,0.33,8.33,102.24,267.75,56.86,0.5,8.82,62.19,189.63,132.99,1.27,39.12,220.24,91.17,1.52,27.85,241.88,381.88,7.15,110.13,119.92,5.86,158.38,638.76,25.9,93.96,45.56,640.41,1
0.09,2.02,20.21,136.2,179.36,32.72,108.2,0.14,3.94,32.38,120.17,162.54,39.33,0.26,6.21,75.24,224.61,120.49,102.81,0.53,10.94,74.3,139.29,56.79,0.9,26.12,171.46,281.95,142.82,1.74,29.08,94.37,52.52,4.36,78.06,321.83,329.75,5.45,44.86,34.47,16.57,206.58,561.05,10.61,24.01,59.35,579.42,1
0.06,0.25,13.58,56.65,90.01,108.2,21.93,0.09,1.98,13.23,149.22,188.27,61.4,0.02,4.01,32.63,75.83,76.52,30.83,0.25,4.04,95.25,267.35,69.11,0.56,11.51,46.76,233.53,124.8,0.59,36.89,225.78,80.93,1.93,18.93,265.71,372.72,6.77,114.47,114.38,3.76,166.49,631.48,27.13,96.49,46.92,635.81,1
0.04,1.49,19.31,29.83,113.47,145.24,68.43,0.15,1.21,22.41,126.46,104.68,36.26,0.18,5.72,13.88,148.9,187.05,8.97,0.16,7.36,87.67,162.86,59.53,0.81,4.7,108.58,341.01,36.99,1.14,35.85,150.53,106.83,0.81,47.13,365.38,265.53,6.83,81.03,126.39,9.63,226.51,557.85,19.94,92.78,63.75,609.35,1
0.05,0.48,12.95,44.39,3.82,170.37,101.88,0.17,2.87,16.35,167.98,154.99,67.99,0.07,4.18,26.39,61.75,135.01,53.65,0.37,5.57,105.26,246.95,112.38,0.62,9.66,61.79,245.74,62.79,0.89,40.88,218.43,156.31,1.67,30.98,298.59,273.14,7.57,113.53,176.6,6.87,197.27,565.31,27.3,129.46,57.35,622.66,1
0.01,0.39,9.08,59,76.13,76.46,40.89,0.04,1.56,24.17,116.3,116.72,29.4,0.04,2.37,30.92,117.11,149.93,47.64,0.2,7.2,66.66,136.41,76.56,0.31,10.27,90.29,291.71,88.52,1.04,24.2,106.36,112.12,1.65,40.34,297.52,381.24,4.26,51.41,113.85,8.39,177.31,649.02,11.82,75.59,48.66,639.74,1
0.04,2.43,22.85,28.19,82.96,132.98,89.53,0.08,1.42,43.8,194.57,220.95,77.9,0.29,6.53,16.37,95.52,68.13,119.4,0.17,13.26,119.47,255.76,90.9,0.9,5.93,68.83,163.19,169.56,1.95,45.65,202.78,123.95,1.02,30.17,206.01,317.89,8.35,100.59,139.87,6.24,136.24,486.6,23.66,102.38,39.51,481.52,1
0.07,0.81,17.6,48.13,40.23,135.61,35.99,0.14,2.85,18.32,157.71,216.37,71.04,0.1,5.31,31.35,44.74,65.08,39.8,0.37,5.8,98.38,282.28,30.83,0.76,11.79,31.5,206.37,132.14,0.88,37.77,230.3,92.84,2.05,13.7,243.13,375.9,6.91,114.76,141.86,2.84,154.2,626.77,26.95,112.69,43.66,626.5,1
0.14,0.04,29.14,110.36,43.92,172.47,72.5,0.2,4.5,9.89,160.33,198.91,69.4,0.01,9.2,70.8,45.58,68.56,58.74,0.64,2.66,114.62,321.77,59.89,1.36,26.91,32.47,97.78,78.67,0.35,47.84,295.62,143.62,4.76,14.58,183.9,271.53,9.24,158.71,213.33,3.11,136.59,544.86,39.05,172.9,41.72,600.99,1
0.05,1.03,26.5,114.86,94.66,154.05,49.22,0.16,3.14,6.33,125.83,181.54,144.64,0.12,7.57,61.99,78.5,73.31,40.57,0.4,1.97,81.7,252.49,203.86,1.04,21.07,47.75,114.01,54.08,0.3,32.06,213.18,237.04,3.45,19.13,146.74,273.57,5.94,108.24,224.98,3.77,97.6,495.19,25.69,149.64,28.32,505.97,1
0.05,1.57,11.4,12.35,100.26,198.61,136.76,0.04,2.47,38.2,168.86,176.82,154.22,0.19,3.33,9.35,118.34,150.28,119.99,0.31,11.63,100.22,215.68,172.41,0.47,3.9,84.57,203.16,5.18,1.71,37.42,170.26,190.02,0.72,36.71,221,239.63,6.73,83.32,178.47,7.55,139.12,480.49,19.36,117.56,39.42,500.81,1
0.07,2.1,14.39,33.4,70.56,158.98,14.49,0.1,2.32,35.7,140.89,195.6,25.69,0.26,4.45,18.81,101.46,102.28,31.48,0.31,11.51,95.15,246.14,113.7,0.65,6.84,79.86,224.6,53.5,1.77,38.22,200.4,169.23,1.19,36.65,265.73,306.12,7.19,100.41,168.24,7.8,171.15,580.21,23.72,112.03,49.01,605.23,1
0.07,1.24,2.65,49.97,138.36,123.29,12.4,0.06,2.41,31.43,132.29,151.65,16.96,0.15,1.09,26.53,162.13,109.46,19.49,0.31,9.97,82.45,174.64,29.02,0.19,9.03,116.39,251.78,141.13,1.51,31.74,141.23,81.34,1.49,50.79,281.55,395.03,5.83,71.08,112.57,10.48,176.2,637.36,16.86,89.84,49.7,625.88,1
0.04,1.87,28.41,84.25,60.51,215.5,63.39,0.14,2.12,25.96,185.7,241.08,65.34,0.23,8.34,49.2,22.52,100.02,30.61,0.28,8.26,118.32,310.6,119.59,1.17,17.57,4.28,103.95,61.54,1.26,46.28,256.64,184.41,2.98,4.4,170.74,247.08,8.59,129.76,205.75,1.38,122.49,480.73,30.82,147.27,36.72,515.45,1
0.11,3.21,34.29,150.91,226.86,111.46,214.16,0.1,2.35,18.58,61.84,70.79,41.64,0.39,10.02,85.32,255.77,207.42,175.74,0.31,5.8,35.74,72.16,46.18,1.41,29.98,186.26,325.76,146.2,0.88,13.29,52.7,49.59,5.03,82.99,333.77,239.26,2.4,24.92,44.97,17.43,205.93,399.51,5.7,28.85,58.19,422.35,1
0.09,2.17,21.72,74.15,21.45,220.26,121.62,0.12,2.57,25.65,164.76,200.03,104.39,0.27,6.35,39.6,24.48,177.14,119.48,0.34,8.4,102.11,264.76,150.27,0.89,13.49,21.49,214.87,21.36,1.3,39.22,217.22,180.56,2.22,10.96,222.96,224.32,7.19,108.57,173.82,2.51,138.72,482.95,25.54,116.48,39.19,516.88,1
0.1,0.77,18.18,72.88,50.39,172.13,36.44,0.08,4.16,18.44,71.79,155.87,88.49,0.09,5.37,45.63,58.83,68.56,73.85,0.53,5.46,48.46,225.3,86.31,0.75,16.85,42.85,242.5,22.9,0.8,19.41,191.51,64.15,2.9,18.91,293.47,341.03,3.64,97.41,91.48,3.94,187.88,691.67,23.13,82.96,53.41,733.47,1
0.14,0.83,33.11,101.48,19.73,206.05,15.75,0.26,4.76,14.17,177.8,173.21,117.62,0.11,10.41,66.5,2.26,106.47,6.17,0.67,4.41,122.88,289.12,154.35,1.53,25.55,10.07,131.29,34.79,0.67,50.51,269.07,209.64,4.55,7.63,199.84,250.39,9.69,145.44,239.02,2.06,143.15,532.55,35.93,177.72,43.15,590.04,1
0.09,1.06,28.7,71.47,86.47,155.76,20.95,0.13,3.13,13.35,30.98,71.06,51.72,0.13,8.26,43.79,70.02,111.69,108.7,0.41,4.21,29,115.79,38.75,1.15,16.03,46.07,321.3,74.6,0.65,13.73,112.97,88.52,2.75,19.24,369.32,247.58,2.83,62.07,115.5,3.84,232.46,650.43,15.4,88.95,65.62,738.09,1
0.08,0.24,15.68,37.44,64.3,176.66,17.7,0.11,2.43,13.7,154.49,149.74,74.07,0.03,4.93,27.06,75.17,139.66,24.84,0.32,4.47,102.62,244.63,101.06,0.72,10.74,52.25,257.94,30.14,0.69,40.87,221.22,154.5,1.93,22.09,294.2,282.04,7.65,116.51,184.46,4.45,187.42,584.28,28.23,137.63,53.41,631.29,1
0.02,1.01,16.04,44.92,56.88,209.65,236.68,0.05,1.62,25.46,162.09,112.85,72.35,0.13,4.8,27.58,32.95,147.58,309.71,0.2,8.1,104.38,223.82,161.25,0.68,10.03,23.82,195.92,223.52,1.23,40.9,208.8,250.31,1.71,11.78,231.22,91.78,7.58,110.48,266.9,2.65,151.64,457.49,26.74,183.35,43.87,557.79,1
0.02,1.06,11.11,47.9,174.86,131.35,35.27,0.06,1.41,4.35,29.06,92.5,25.98,0.12,3.04,27.24,184.22,139.33,45.28,0.17,1.24,16.05,93.06,35.47,0.41,9.43,123.97,311.87,88.91,0.18,5.57,64.66,29.19,1.55,51.73,326.5,391.51,0.94,28.96,22.28,10.35,195.55,673.29,6.34,16.17,53.67,666.65,1
0.04,1.03,7.14,16.93,134.7,130.59,23.64,0.04,0.58,25.66,148.87,173.39,48.47,0.12,2.15,7.54,142.65,57.2,47.14,0.08,7.95,90.82,220.63,9.75,0.31,2.18,97.38,233.81,150.54,1.18,34.31,176.77,66.03,0.31,41.14,274.33,394.26,6.21,86.97,102.39,8.31,173.18,636.58,20.24,81.11,48.89,627.65,1
0.08,1.43,8.61,81.68,162.42,109.75,34.29,0.11,2.79,27.98,94.43,42.86,63.67,0.18,2.98,47.67,211.83,164.58,17.7,0.39,9.58,64.74,79.59,85.36,0.46,17.08,160.4,336.49,80.65,1.53,26.69,83.54,96.09,2.91,72.28,368.74,316.45,5.14,48.2,64.16,15.22,231.07,592.29,12.36,33.12,65.45,623.09,1
0.02,1.15,20.37,50.57,81.1,137.2,51.74,0.15,2.52,8.81,65.28,24.17,20.93,0.13,5.62,25.37,104.33,115.02,105.16,0.31,2.81,46.84,70.34,53.68,0.76,8.33,74.43,330.78,10.8,0.43,19.29,76.69,44.84,1.34,31.7,359.67,350.82,3.67,43.82,15.57,6.39,218.94,701.76,11.06,7.48,60.61,732.29,1
0.06,1.16,22.41,71.67,127.87,110.84,107.55,0.17,1.93,27.78,135.97,80.79,175.01,0.15,6.77,40.37,105.28,98.88,221.6,0.26,8.7,94.46,168.71,196.27,0.97,14.25,68.51,260.92,196.53,1.31,38.63,165.29,260.2,2.41,29.19,303.03,74.77,7.35,90.61,267.23,6,193.33,430.1,22.45,179.51,55.11,541.22,1
0.18,4.47,41.04,156.1,212.05,124.99,193.32,0.16,4.16,33.63,85.19,32.86,80.82,0.56,12.54,93.67,251.11,181.23,201.75,0.53,10.42,53.7,57.71,88.75,1.82,34.35,192.1,290.09,191.77,1.56,20.88,54.01,74.76,5.95,88.84,316.5,281.66,3.86,29.05,50.11,19.15,204.03,436.17,7.13,26.56,59.19,452.66,1
0.01,1.14,8.62,19.69,57.48,185.88,25.78,0.08,0.48,25.9,143.21,162.86,52.35,0.14,2.81,10.8,95.21,118.71,3.89,0.06,8.34,91.87,227.11,129.22,0.42,3.86,76.1,237.97,74.64,1.27,35.87,189.82,171.89,0.67,34.82,277.07,329.26,6.63,95.73,167.52,7.36,176.77,605.44,22.63,112.7,50.3,625.34,1
0.06,1.74,19.27,103.07,204.09,82.97,128.82,0.08,1.42,2.65,33.81,73.15,59.45,0.21,5.76,59.54,236.9,110.63,121.42,0.18,1.04,14.4,59.6,80.09,0.82,21.01,170.76,296.83,163.76,0.19,4.15,36.85,72.38,3.52,74.84,334.32,352.13,0.63,15.92,43.15,15.49,209.94,573.38,3.51,17.18,59.34,578.22,1
0.11,2.19,21.23,59.68,37.69,206.02,23.54,0.18,3.34,22.58,143.44,220.7,95.99,0.28,7.07,44.33,34.9,111.15,36.14,0.48,7.84,102.38,320.93,69.6,1.08,17.93,30.08,135.91,3.76,1.28,42.77,282.36,154.39,3.27,16.02,203.75,257.09,8.28,148.05,221.27,3.81,145.1,580.42,35.93,175.3,43.59,646.28,1
0.05,2.27,19.33,17.29,38.85,84.23,166.3,0.07,1.76,43.43,208.63,201.75,51.85,0.27,5.71,14.6,78,55.76,181.51,0.23,13.53,126.21,244.03,89.57,0.81,6.33,69.13,188.33,208.45,2.03,48.07,200.71,83.69,1.2,33.56,232.46,343.08,8.8,101.93,85.7,7.37,152.9,511.52,24.32,74.05,44.33,505.96,1
0.06,1.49,15.81,84.9,163.02,93.47,61.81,0.14,3.52,32.56,118.28,174.49,45.53,0.18,4.57,46.21,179.26,103.4,101.43,0.45,10.14,70.53,173.84,7.57,0.64,15.81,126.3,240.56,203.34,1.52,26.56,126.53,32.17,2.6,54.7,262.91,407.23,4.82,59.8,52.02,11.25,162.6,594.81,13.69,42.31,45.58,563.93,1
0.07,1.75,13.99,90.34,177.4,66.12,66.16,0.05,0.33,7.34,37.79,41.33,115.76,0.21,4.37,54.25,235.21,124.71,6.32,0.03,2.29,24.31,54.78,161.53,0.64,19.62,179.17,335.35,26.02,0.35,9.58,46.88,174.51,3.34,80.9,386.59,251.96,1.78,23.98,146.98,17.04,246.87,552.41,5.71,87.4,70.5,612.92,1
0.07,1.45,12.97,28.43,91.84,161.05,1.94,0.23,3.11,32.01,131.01,70.92,140.68,0.2,4.37,19.9,90.12,166.61,143.32,0.43,10.77,88.87,121.43,171,0.68,8.07,76.4,318.77,139.31,1.71,36.39,121.37,210.57,1.5,37.76,363.16,144.63,6.98,68.31,215.81,8.43,232.89,532.89,17.26,150.16,66.78,646.6,1
0.08,0.66,15.51,15.03,24.03,214.95,112.06,0.22,2.99,15.13,151.02,91.72,107.56,0.09,5.02,11.13,59.54,165.05,208.6,0.39,5.1,102.85,208.54,176.55,0.76,5.32,56.35,219.45,178.72,0.81,41.86,205.35,251.17,1.07,27.48,276.01,107.02,7.97,112.41,268.57,5.98,187.8,490.15,27.81,188,55.43,609.87,1
0.03,0.44,13.69,39.38,108.08,95.7,3.65,0.07,1.23,13.33,97.33,63.28,37.84,0.05,3.67,18.84,118.67,151.52,27.17,0.15,3.99,61.13,116.75,46.97,0.48,5.96,79.81,327.67,84.82,0.58,23.43,106.9,23.11,0.93,32.97,336.95,376.56,4.27,56.09,30.69,6.52,200.34,664.43,13.51,33.49,54.82,668.01,1
0.14,1.78,27.86,59.53,84.29,168.58,127.75,0.27,3.46,22.51,184.76,237.94,8.25,0.23,8.8,39.62,77.14,35.09,114.29,0.49,7.16,125.01,311.33,31.64,1.3,15.57,51.32,162.12,127.05,1.1,50.79,266.43,107.41,2.82,21.91,243.05,300.89,9.67,138.8,160.93,4.52,169.92,547.92,33.67,131.96,50.58,587.59,1
0.14,0.76,25.55,103.41,48.45,195.1,26.56,0.18,5.33,1.75,154.57,196.97,102.88,0.09,8.09,69.75,40.54,90.52,12.55,0.74,0.96,106.97,313.89,41.67,1.2,27.02,32.56,78.15,68.71,0.21,43.91,289.26,123.01,4.81,16.22,167.53,311.23,8.41,155.49,208.49,3.68,126.78,615.25,38.27,173.89,38.9,665.08,1
0.06,1.45,16.83,24.86,85.43,221.2,32.81,0.14,1.48,33.52,171.54,167.47,112.86,0.19,5.18,15.84,113.42,168.18,53.16,0.21,10.73,111.17,231.04,154.54,0.75,6.18,85.07,258.63,11.83,1.64,43.83,197.1,167.47,1.12,37.9,290.31,246.91,8.17,101.42,149.88,7.91,185.16,522.41,24.33,98.62,52.88,566.53,1
0.15,3.07,27.85,117.58,168.44,107.26,34.2,0.13,2.51,15.74,41.23,119.83,32.08,0.39,8.74,73.75,234.68,153.33,25.43,0.36,5.85,29.59,80.48,28.02,1.29,27.53,185.33,320.31,86.15,0.99,13.14,48.09,54.31,4.8,86.05,364.35,314.89,2.69,23.99,73.39,18.5,234.4,591.5,6.16,60.06,67.5,627.85,1
0.02,1.04,9.4,39.15,133.95,188.47,27.92,0.1,1.76,29.05,132.88,167.9,74.79,0.13,2.87,21.71,152.69,148.81,26.02,0.23,8.99,82.72,195.86,98.5,0.41,7.64,107.92,253.07,83.24,1.34,31.65,154.18,127.05,1.29,46.58,277.09,342.76,5.77,75.73,133.9,9.54,172.7,600.15,17.67,93.95,48.6,604.86,1
0.07,3.03,34.13,90.79,53.11,113.5,45.48,0.17,2.5,29.92,186.88,218.71,100.84,0.36,9.64,50.3,8.32,29.84,94.51,0.34,9.64,112.35,250.59,66.17,1.32,17.52,13.16,109.56,162.14,1.49,42.73,200.63,70.25,2.93,10.65,149.17,303.05,7.82,100.52,96.57,2.85,101.02,448.45,23.82,79.37,29.66,435.4,1
0.04,1.07,15.33,30.98,74.97,217.92,12.49,0.1,1.59,12.09,128.24,116.09,54.57,0.14,4.83,21.64,91.76,140.35,70.09,0.2,4.67,90.04,215.96,134.05,0.71,8.56,67.9,248.43,24.98,0.79,37.04,201.64,188.4,1.55,30.29,300.8,255.09,7.08,107.79,197.21,6.35,196.6,600.08,26.33,139.18,56.69,667.77,1
0.02,0.45,2.77,21.91,59.63,146.55,29.08,0.02,1.79,26.15,146.39,212.28,43.99,0.06,0.68,11.48,80.35,118.85,1.63,0.22,8.21,87.84,250.25,63.79,0.09,3.88,65.19,229.68,88.77,1.23,32.87,193.52,132.39,0.64,30.34,256.35,341.31,5.91,93.12,159.11,6.48,160.66,601.13,21.37,114.76,45.32,608.38,1
0.06,1.71,16.03,61.46,172.27,87.39,0.44,0.07,2.02,17.56,45.22,108.05,98.74,0.2,4.65,37.23,192.03,166.93,43.71,0.24,5.13,23.77,74.68,105.33,0.65,13.41,134.26,331.26,57.78,0.73,8.27,38.68,92.23,2.27,57.59,341.01,342.04,1.43,13.85,77.82,11.75,204.43,627.26,2.6,51.87,56.32,638.28,1
0.07,1.59,25.57,74.66,21.18,137.63,61.99,0.17,3.32,8.91,54.43,53.17,105.91,0.19,7.44,42.45,49.08,153.38,139.71,0.43,2.79,36.84,74.62,156.46,1.04,14.99,45.94,349.79,151.13,0.43,15.47,76.93,191.77,2.53,22.47,389.31,167.24,3.02,44.03,183.51,4.92,243.12,595.58,11.2,120.36,68.46,713.11,1
0.02,0.86,16.35,45.28,124.4,84.17,39.08,0.06,0.78,12.12,79.72,73.19,56.56,0.1,4.41,22.99,136.92,154.81,6.37,0.09,3.59,49.8,105.62,22.1,0.58,7.47,92.74,345.21,76.53,0.52,19.13,93.23,48.2,1.19,38.59,357.79,353.87,3.5,48.37,89.69,7.68,213.73,646.54,11.59,74.52,58.64,661.58,1
0.1,0.17,23.89,85.47,25.74,183.64,21.55,0.15,3.8,8.43,159.89,181.78,66.39,0.02,7.32,55.53,10.71,108.35,59.15,0.52,2.18,106.16,291.04,104.29,1.06,21.03,6.97,146.67,4.11,0.27,42.45,261.9,198.49,3.69,4.49,197.38,258.67,7.98,138.1,246.75,1.18,135.77,562.72,33.55,184.63,40.15,615.99,1
0.05,0.88,16.79,15.72,81.16,86.27,18.52,0.16,2.6,14.81,126.95,106.78,13.83,0.11,4.99,13.65,102.51,179.3,14.69,0.33,4.73,82.09,166.32,26.04,0.71,5.84,72.65,331.24,72.3,0.72,32.15,150.58,72.79,1.09,30.84,338.15,342.79,5.95,79.41,101.73,6.2,202.9,630.46,19.25,80.47,56.01,648.94,1
0.07,2.6,26.34,44.72,38.34,162.01,30.63,0.18,2.88,38.44,191.07,141.95,95.45,0.32,7.86,29.48,74.84,197.78,46.98,0.39,12.38,119.92,213.61,127.09,1.12,11.41,63.1,288.88,20.11,1.9,46.67,187.54,167.69,2.04,29.98,293.42,239.86,8.66,97.84,159.28,6.52,179.6,490.99,23.66,102.88,50.42,526.9,1
0.04,0.81,11.86,22.09,132.34,148.83,35.12,0.09,1.23,16.18,76.41,109.28,47.93,0.09,3.3,10.4,140.77,188.62,42.3,0.15,4.49,48.59,120.43,74.26,0.45,3.28,95.88,348.57,27.03,0.62,18.76,94.23,48.75,0.52,40.22,359.98,314.3,3.44,46.57,12.67,8.06,216.42,630.73,10.94,15.13,59.69,664.02,1
0.05,1.69,18.8,51.78,37.33,159.09,65.74,0.1,2.51,35.03,174.88,228.78,96.32,0.21,5.77,31.18,53.75,134.26,59.28,0.33,11.33,114.95,302.13,69.29,0.83,11.41,45.24,221.25,114.69,1.75,45.61,250.53,95.92,1.97,22.04,252.4,325.81,8.53,126.53,142.63,4.9,162.72,573.98,30,115.85,46.8,594.28,1
0.07,2.18,30.59,78.04,41.36,200.98,36.38,0.18,2.91,30.17,186.94,213.17,78.91,0.28,9.27,49.44,34.83,86.13,39.72,0.4,9.71,124.24,297.05,101.79,1.33,18.55,25.7,135.83,98.74,1.5,49.82,256.29,161.14,3.24,12.85,202.66,306.61,9.4,133.08,193.08,2.99,142.04,555.26,32.13,144.4,42.29,582.64,1
0.04,1.12,16.1,21.64,85.71,140.22,40.4,0.15,2.16,21.72,122.04,185.8,38.45,0.14,4.87,14.14,92.24,33.7,19.13,0.28,6.96,82.99,246.09,69.96,0.7,5.71,63.99,203.27,49.28,1.06,33.36,203.57,175.82,1.05,27.33,254,314.68,6.27,102.36,214.08,5.56,164.73,609.03,24.17,154.42,47.15,638.11,1
